language,type,workers,n,repeats,t_mean,t_std,t_min,t_max,outliers,speedup
rust,weak,1,50,30,0.0014013333333333334,0.00027541415278731695,0.001228,0.002219,5,0.9547098001902948
rust,weak,2,100,30,0.005075566666666666,0.00026041181275476393,0.004852,0.00594,1,0.5271792312188458
rust,weak,4,200,30,0.019973633333333334,0.00048661898054044525,0.019395,0.021411,3,0.2679265498348656
rust,weak,8,400,30,0.07859333333333333,0.0010119159824587976,0.077171,0.081185,0,0.13618118585121722
