iteration,id,m,x,y,z,vx,vy,vz
0,0,6.754841186120954,-9.49978489554666,-4.499413632617615,-5.5357852370235445,0.09458848566560496,0.07067979496916454,0.1568718270819382
0,1,1.7824494936647453,-1.561563606294591,-9.404055611238594,-5.627240503927933,0.002142115241344944,-0.18938561212645455,-0.12046493972534061
0,2,6.848959940015709,0.8988296120643327,-5.591187559186066,1.7853136775181753,0.12377218267113066,-0.1974004961287756,0.12232770073312316
0,3,7.283254554894041,-3.1949896696401625,-6.890410003764369,9.144261444135623,-0.0653621819549493,-0.16290166264794084,-0.1613134492666144
0,4,8.62744929712714,2.0745206273378223,6.142565465487603,4.594635733876357,0.014491236581880285,0.18924630559174827,-0.0485862491166586
0,5,5.968365681459043,6.588093285059898,2.370395047284921,7.234138006215545,0.030940858102704805,0.08182873448596939,-0.18167024653773511
0,6,3.0510844808639215,-4.212240727957857,-8.40416046152745,-5.344182272779396,-0.15959942823610837,-0.08881055875596316,0.054273777705760085
0,7,4.283489610730758,-2.5963806576623476,-5.809859384570246,-4.660443559017732,0.1746618350849976,0.059214154098637395,0.04365240226679529
0,8,2.540247833782873,4.582535959006984,-6.731950124761433,-2.410891164847044,0.1958093402546381,0.05599990394163712,0.022779897509858482
0,9,7.161528258908872,6.857038403796192,5.519998230924896,-5.419038560717913,-0.1871599024383849,-0.07381878077636725,-0.09290364960971892
0,10,2.8988455922769383,8.858194286701089,7.527352529453378,-3.706442384030442,0.062175466117951994,-0.041747239575734285,0.16581903589621744
0,11,5.129666673286589,-4.702396670038951,-5.067449846120331,1.2273626832630153,-0.0949033565908259,0.03383439608941621,0.15912915344099082
0,12,4.594604546263575,-5.613584816854333,9.950752129902206,0.19052587352929073,-0.16363623513048245,-0.18115344983010617,-0.15614034785973635
0,13,6.64701437532781,5.841587287259282,-1.5568006640063192,-8.729445876960858,-0.047352285397385285,0.19844855209603873,0.011645738039654796
0,14,9.739705398522563,7.215594044689961,-9.770379561143606,4.414436387203892,0.07268414761062991,0.01478813216351807,-0.09326992401898289
0,15,6.768656187218273,-7.768956528082471,-1.3046949866178998,-0.9255258734158716,0.18152637100843205,0.15034117615127762,-0.0946443796995637
0,16,5.505275017452685,-6.426962389397373,8.25255678689641,7.410371396735339,-0.08062208342054684,0.055579797946402054,0.043588084575268915
0,17,2.375553416946713,5.250216001503025,0.7875806023925147,5.572529572611165,0.012141468878070993,-0.19977124154882261,-0.07033757719813077
0,18,1.1752906814724908,8.581972325292341,7.574437556463685,6.6333105872235905,-0.07699434983893544,-0.176829933402325,0.15120383968161621
