language,type,workers,n,repeats,t_mean,t_std,t_min,t_max,outliers,speedup
rust,strong,1,1200,8,0.375298625,0.0032088029285661994,0.369426,0.37995,0,0.9734641313966976
rust,strong,2,1200,8,0.380220625,0.023786008754820034,0.368722,0.442946,1,0.9608625255402702
rust,strong,4,1200,8,0.459632625,0.039728817163796545,0.392987,0.518037,0,0.7948516491839541
rust,strong,6,1200,8,0.380956375,0.010759530681417986,0.371283,0.406605,1,0.9590067891631947
rust,strong,8,1200,8,0.388662125,0.03272094672544446,0.366605,0.460156,0,0.9399931881708308
rust,strong,12,1200,8,0.39132725,0.03878186617399297,0.369072,0.485773,1,0.9335913867485588
