language,type,workers,n,repeats,t_mean,t_std,t_min,t_max,outliers,speedup
python,strong,1,1200,8,55.9100935,2.5746596747784927,53.533898,62.035318,1,0.5414538879281252
python,strong,2,1200,8,29.22285775,0.4779088558351763,28.430423,30.091521,0,1.0359266625797405
python,strong,4,1200,8,23.89320025,2.821981528426602,18.071782,26.215612,0,1.267002209132701
python,strong,6,1200,8,19.779225,0.2198753905135822,19.380967,20.063188,0,1.5305320355069525
python,strong,8,1200,8,16.712591125,0.23221574648881868,16.406979,17.221686,0,1.8113730703742088
python,strong,12,1200,8,14.944062375,0.5648860281443813,14.177547,15.820066,0,2.0257368271323215
