iteration,id,m,x,y,z,vx,vy,vz
0,0,6.754841186120954,-0.9499784895546661,-0.4499413632617615,-0.5535785237023545,0.04729424283280248,0.03533989748458227,0.0784359135409691
0,1,1.7824494936647453,-0.15615636062945915,-0.9404055611238593,-0.5627240503927933,0.001071057620672472,-0.09469280606322728,-0.06023246986267031
0,2,6.848959940015709,0.08988296120643335,-0.5591187559186066,0.17853136775181744,0.06188609133556533,-0.0987002480643878,0.06116385036656158
0,3,7.283254554894041,-0.31949896696401625,-0.6890410003764369,0.9144261444135624,-0.03268109097747465,-0.08145083132397042,-0.0806567246333072
0,4,8.62744929712714,0.20745206273378214,0.6142565465487604,0.45946357338763577,0.007245618290940142,0.09462315279587413,-0.0242931245583293
0,5,5.968365681459043,0.6588093285059897,0.2370395047284921,0.7234138006215545,0.015470429051352402,0.040914367242984695,-0.09083512326886756
0,6,3.0510844808639215,-0.42122407279578566,-0.840416046152745,-0.5344182272779396,-0.07979971411805419,-0.04440527937798158,0.027136888852880042
0,7,4.283489610730758,-0.2596380657662347,-0.5809859384570246,-0.4660443559017733,0.0873309175424988,0.029607077049318697,0.021826201133397644
0,8,2.540247833782873,0.45825359590069836,-0.6731950124761432,-0.24108911648470444,0.09790467012731904,0.02799995197081856,0.011389948754929241
0,9,7.161528258908872,0.6857038403796192,0.5519998230924896,-0.5419038560717913,-0.09357995121919245,-0.036909390388183624,-0.04645182480485946
0,10,2.8988455922769383,0.8858194286701089,0.7527352529453377,-0.37064423840304417,0.031087733058975997,-0.020873619787867143,0.08290951794810872
0,11,5.129666673286589,-0.4702396670038951,-0.5067449846120331,0.12273626832630158,-0.04745167829541295,0.016917198044708107,0.07956457672049541
0,12,4.594604546263575,-0.5613584816854333,0.9950752129902205,0.01905258735292903,-0.08181811756524122,-0.09057672491505309,-0.07807017392986818
0,13,6.64701437532781,0.5841587287259282,-0.15568006640063192,-0.8729445876960857,-0.023676142698692643,0.09922427604801937,0.005822869019827398
